step,voltage_V,current_mA,power_mW
0,0.0,0.1,0.0
50,0.0,0.1,0.0
100,0.0,0.1,0.0
150,0.0,0.1,0.0
200,0.0,-0.0,0.0
250,0.0,0.2,0.0
300,0.0,0.2,0.0
350,0.0,0.1,0.0
400,0.0,0.1,0.0
450,0.0,0.0,0.0
500,0.0,0.1,0.0
550,0.24,0.4,0.0
600,1.64,2.6,4.6
650,2.75,4.2,12.8
700,3.43,5.3,18.8
750,3.45,5.3,17.2
800,3.17,4.9,15.8
850,2.46,3.8,10.0
900,2.39,3.7,10.0
950,2.41,3.7,10.0
1000,2.79,4.2,12.8
1050,2.72,4.2,11.2
1100,3.25,5.0,16.0
1150,3.41,5.2,17.6
1200,3.47,5.3,19.2
1250,3.59,5.6,20.0
1300,2.82,4.4,13.6
1350,0.0,0.1,0.0
1400,0.0,0.1,0.0
1450,0.0,0.1,0.0
1500,0.0,0.0,0.0
1550,0.0,0.0,0.0
1600,0.0,0.1,0.0
1650,0.0,0.1,0.0
1700,0.57,1.0,0.0
1750,2.58,4.0,10.0
1800,2.89,4.4,14.0
1850,2.96,4.6,14.0
1900,3.62,5.6,20.0
1950,3.33,5.1,16.0
2000,3.53,5.4,19.6
2050,3.64,5.5,20.2
2100,3.66,5.6,20.0
2150,3.66,5.6,20.2
2200,3.68,5.6,20.2
2250,3.69,5.6,20.2
2300,3.68,5.7,20.6
2350,0.0,0.1,0.0
2400,0.0,0.1,0.0
2450,0.0,0.1,0.0
2500,0.0,0.1,0.0
2550,0.0,0.0,0.0
2600,0.0,0.2,0.0
2650,0.0,0.0,0.0
2700,0.0,0.0,0.0
2750,0.0,0.1,0.0
2800,0.0,0.1,0.0
2850,0.0,0.1,0.0
2900,0.0,0.1,0.0
2950,0.0,0.1,0.0
3000,0.0,0.0,0.0
3050,0.0,0.1,0.0
3100,0.0,0.1,0.0
3150,0.0,0.1,0.0
3200,0.0,0.1,0.0
